design_no,laminate_code,page_no,assigned_value,finish_name,laminate
243 (2),PU,78,2432,,
244 (2),PU,78,2442,,
250 (3),PU,78,2501,glossy,solidcolor
251,PU,73,251,glossy,verticalwood
420,PU,73,420,glossy,verticalwood exoticwood
425 (2),PU,74,4251,glossy,stone
440 (3),PU,73,4402,,
466 (2),PU,74,4661,glossy,stone
467,PU,74,467,glossy,stone
468,PU,74,468,glossy,stone
469,PU,74,469,glossy,stone
506 (2),PU,73,5062,glossy,exoticwood
507 (2),PU,73,5072,glossy,exoticwood
525 (2),PU,74,5251,glossy,stone
526 (2),PU,74,5261,glossy,stone
527 (2),PU,74,5271,glossy,vibrant
531,PU,74,531,glossy,vibrant
533 (2),PU,73,5332,,
562,PU,,562,,
718,PU,74,718,glossy,stone vibrant
1331,PU,33,1331,glossy,stone
1333,PU,33,1333,glossy,stone
1334,PU,33,1334,,
1335,PU,33,1335,glossy,stone
1351,PU,59,1351,glossy,vibrant
1352,PU,59,1352,glossy,vibrant
1365 (2),PU,34,13652,glossy,stone
1390,PU,60,1390,glossy,verticalwood exoticwood
1503,PU,60,1503,glossy,verticalwood exoticwood
1524,PU,33,1524,glossy,stone
1525 (2),PU,33,15252,glossy,stone
1554 (2),PU,33,15542,,
1555 (2),PU,33,15552,,
1579,PU,60,1579,glossy,vibrant
1580,PU,60,1580,glossy,vibrant
1613 (2),PU,34,16132,glossy,stone
1618 (2),PU,60,16182,glossy,verticalwood exoticwood
1619 (3),PU,60,16193,glossy,verticalwood exoticwood
1626,PU,60,1626,glossy,verticalwood exoticwood
1627,PU,60,1627,glossy,verticalwood exoticwood
1628 (2),PU,60,16282,glossy,verticalwood
1634,PU,33,1634,glossy,stone
1635 (2),PU,33,16352,glossy,stone
1636,PU,33,1636,glossy,stone
1637 (2),PU,33,16372,glossy,stone
1690 (2),PU,60,16902,glossy,verticalwood exoticwood
1701 (2),PU,34,17012,,
1702 (2),PU,34,17022,,
1721 (2),PU,34,17212,,
1722 (2),PU,34,17222,,
1723,PU,34,1723,,
1724,PU,34,1724,,
053D (2),PU,78,53410,glossy,solidcolor
1577A,PU,60,157710,glossy,vibrant
719A,PU,74,71910,glossy,stone vibrant
26 (2),RD,70,261,,verticalwood
27 (3),RD,70,271,,verticalwood
31,RD,72,31,,verticalwood
33 (2),RD,72,331,,verticalwood
34,RD,69,34,,verticalwood
35,RD,69,35,,verticalwood
36,RD,69,36,,verticalwood
37,RD,69,37,,verticalwood
63,RD,72,63,,verticalwood
64,RD,72,64,,verticalwood
65,RD,72,65,,verticalwood
132 (9),RD,72,1323,,verticalwood
431,RD,69,431,,verticalwood solidcolor
432,RD,69,432,,verticalwood
510,RD,70,510,,verticalwood exoticwood
536,RD,69,536,,verticalwood
543,RD,69,543,,
561,RD,,561,,
604 (2),RD,70,6041,,
938,RD,69,938,,verticalwood
978,RD,70,978,,verticalwood
989,RD,68,989,,verticalwood
993,RD,70,993,,verticalwood
995,RD,70,995,,verticalwood
1502,RD,56,1502,,
430A,RD,69,43010,,verticalwood
1367,RL,55,1367,matt,leather fabric
1369,RL,55,1369,matt,leather fabric
1421,RM,32,1421,,fabric
62,RN-CF,85,62,,fabric
69,RN-CF,85,69,,fabric
70,RN-CF,85,70,,fabric
71,RN-CF,85,71,,fabric
72,RN-CF,85,72,,fabric
73,RN-CF,85,73,,fabric
74,RN-CF,85,74,,fabric
75,RN-CF,85,75,,stone
76,RN-CF,85,76,,stone
77,RN-CF,85,77,,stone
78,RN-CF,85,78,,
79,RN-CF,85,79,,
80,RN-CF,85,80,matt,exoticwood
83,RN-CF,85,83,matt,
91,RN-CF,85,91,,
92,RN-CM,85,92,,
1581,RO,51,1581,matt,verticalwood
1583,RO,51,1583,matt,verticalwood
1457,RR,56,1457,,exoticwood
1649,RT,46,1649,,verticalwood
1650,RT,46,1650,,verticalwood
936A,RV,68,93610,matt,verticalwood
478 (2),RW,71,4781,matt,horizontalwood
479 (2),RW,71,4791,matt,horizontalwood
513,RW,71,513,matt,horizontalwood
514,RW,71,514,matt,horizontalwood
515,RW,71,515,matt,horizontalwood
516,RW,71,516,matt,horizontalwood
517,RW,71,517,matt,horizontalwood
518,RW,71,518,matt,horizontalwood
1388 (2),SB,50,13881,matt,verticalwood
1389 (2),SB,50,13891,matt,verticalwood
1533,SB,49,1533,matt,verticalwood
1534,SB,49,1534,matt,verticalwood
1550,SB,51,1550,matt,verticalwood
493,SF,83,493,matt,verticalwood exoticwood
494,SF,83,494,matt,verticalwood exoticwood
495,SF,83,495,matt,verticalwood exoticwood
496,SF,83,496,matt,verticalwood exoticwood
497,SF,83,497,matt,verticalwood exoticwood
498,SF,83,498,matt,verticalwood exoticwood
499,SF,83,499,matt,verticalwood exoticwood
601,SF,83,601,matt,verticalwood exoticwood
602 (2),SF,83,6021,matt,verticalwood exoticwood
603,SF,83,603,matt,verticalwood exoticwood
604 (2),SF,83,6042,,
1761,SL,,1761,,
1762,SL,,1762,,
1763,SL,,1763,,
111,SM,78,111,,solidcolor
129 (3),SM,78,1291,matt,solidcolor
132 (9),SM,78,1326,matt,solidcolor
184 (2),SM,78,1841,,solidcolor
238,SM,78,238,matt,solidcolor
239,SM,78,239,matt,solidcolor
241,SM,78,241,,
242 (2),SM,78,2422,,
243 (2),SM,78,2431,,
244 (2),SM,78,2441,,
425 (2),SM,75,4252,matt,stone
446,SM,77,446,matt,fabric
447,SM,77,447,matt,fabric
449,SM,75,449,matt,stone
451,SM,75,451,matt,stone
511,SM,76,511,matt,vibrant
512,SM,76,512,matt,vibrant
528,SM,75,528,matt,vibrant
529,SM,75,529,matt,vibrant
534,SM,77,534,,fabric
535,SM,77,535,,fabric
544,SM,75,544,,
545,SM,75,545,glossy,stone vibrant
546,SM,75,546,glossy,stone vibrant
551,SM,75,551,matt,stone
552,SM,75,552,matt,stone
556,SM,77,556,,
557,SM,77,557,,
1731,SM,47,1731,,
1732,SM,47,1732,,
1733,SM,47,1733,,
1740,SM,47,1740,,
483 (2),SN,68,4831,matt,verticalwood exoticwood
484 (2),SN,68,4841,matt,verticalwood exoticwood
547,SN,68,547,matt,verticalwood
602 (2),SN,,6022,,
990,SN,68,990,matt,verticalwood
991,SN,68,991,matt,verticalwood
1487,SP,56,1487,,exoticwood
1488,SP,56,1488,,exoticwood
1489,SP,56,1489,,exoticwood
264,ST,77,264,glossy,solidcolor vibrant
265,ST,77,265,glossy,solidcolor vibrant
1665,SV,48,1665,,verticalwood
1666,SV,48,1666,,verticalwood
1667,SV,48,1667,,verticalwood
1668,SV,48,1668,,verticalwood
48 (3),SW,61,48100,,verticalwood
424,SW,61,424,,verticalwood
454,SW,61,454,,verticalwood
524,SW,61,524,,verticalwood
961,SW,61,961,,verticalwood
962,SW,61,962,,verticalwood
1407,TC,58,1407,,verticalwood exoticwood
1408,TC,58,1408,,verticalwood exoticwood
1430,TC,58,1430,,verticalwood
1432,TC,58,1432,,verticalwood
1112 (7),TL,54,11125,,horizontalwood solidcolor
1433 (2),TL,54,14331,,horizontalwood
1434 (2),TL,54,14341,,horizontalwood
1435 (2),TL,54,14351,,
501,TO,65,501,,verticalwood
502,TO,65,502,,verticalwood
503,TO,65,503,,verticalwood
505,TO,65,505,,
506 (2),TO,65,5061,,verticalwood
507 (2),TO,65,5071,,verticalwood
519,TO,66,519,,verticalwood
520,TO,66,520,,verticalwood
553,TO,65,553,,
554,TO,65,554,,
569,TO,,569,,
1563,TR,55,1563,,verticalwood exoticwood
1564,TR,55,1564,,verticalwood exoticwood
1565,TR,55,1565,,verticalwood exoticwood
1618 (2),TR,54,16181,,verticalwood exoticwood
1619 (3),TR,54,16192,,verticalwood exoticwood
1680 (2),TV,44,16802,,verticalwood
1688,TV,44,1688,,verticalwood exoticwood solidcolor
1689,TV,44,1689,,exoticwood
1693,TV,44,1693,,verticalwood exoticwood
1694,TV,44,1694,,verticalwood exoticwood
1695,TV,44,1695,,verticalwood exoticwood
1696,TV,44,1696,,verticalwood
1388 (2),TW,55,13882,,verticalwood
1389 (2),TW,55,13892,,verticalwood
1574,VS,36,1574,,stone fabric
1575,VS,36,1575,,stone fabric
1576,VS,36,1576,,stone fabric
1615,VS,36,1615,,stone fabric
1508,VW,51,1508,matt,verticalwood
1549,VW,51,1549,,
1566,VW,51,1566,matt,verticalwood exoticwood
1567,VW,51,1567,matt,verticalwood exoticwood
1611,VW,49,1611,matt,verticalwood exoticwood
1671,VW,49,1671,matt,verticalwood exoticwood
1672,VW,49,1672,matt,verticalwood exoticwood
1673,VW,49,1673,matt,verticalwood exoticwood
1674,VW,49,1674,matt,verticalwood exoticwood
1592,WB,55,1592,,verticalwood exoticwood
1593,WB,55,1593,,verticalwood exoticwood
1600,WB,55,1600,,verticalwood exoticwood
132 (9),WD,64,132100,,verticalwood solidcolor
583 (2),WD,64,5831,,verticalwood
992 (2),WD,64,9921,,verticalwood
